epoch,bonangbarung_separation_loss,bonangpenerus_separation_loss,class_bonangbarung_acc,class_bonangbarung_loss,class_bonangpenerus_acc,class_bonangpenerus_loss,class_demung_acc,class_demung_loss,class_gong_acc,class_gong_loss,class_kendhang_acc,class_kendhang_loss,class_peking_acc,class_peking_loss,class_saron_acc,class_saron_loss,class_slenthem_acc,class_slenthem_loss,demung_separation_loss,gong_separation_loss,kendhang_separation_loss,loss,peking_separation_loss,saron_separation_loss,slenthem_separation_loss,val_bonangbarung_separation_loss,val_bonangpenerus_separation_loss,val_class_bonangbarung_acc,val_class_bonangbarung_loss,val_class_bonangpenerus_acc,val_class_bonangpenerus_loss,val_class_demung_acc,val_class_demung_loss,val_class_gong_acc,val_class_gong_loss,val_class_kendhang_acc,val_class_kendhang_loss,val_class_peking_acc,val_class_peking_loss,val_class_saron_acc,val_class_saron_loss,val_class_slenthem_acc,val_class_slenthem_loss,val_demung_separation_loss,val_gong_separation_loss,val_kendhang_separation_loss,val_loss,val_peking_separation_loss,val_saron_separation_loss,val_slenthem_separation_loss
30,0.0068773795,0.008698295,1.0,0.00033144676,1.0,0.0006413625,1.0,0.00095487706,1.0,0.00058462477,1.0,0.00042425556,0.9992487,0.0014499811,1.0,0.00031148488,1.0,0.0007419153,0.1905486,0.007546021,0.008721941,0.4371766419584459,0.19183974,0.00870137,0.008614022,0.004917692,0.007055094,1.0,0.0007206588,1.0,0.0005918642,0.984985,0.022144428,1.0,0.0011654329,1.0,0.00038952345,0.978979,0.042784378,1.0,0.00028792932,1.0,0.0014601102,0.23453948,0.0055875205,0.0070796176,0.553912218626555,0.21180506,0.006961486,0.006341018
31,0.0067728404,0.008602019,1.0,0.00027736818,1.0,0.0005578614,1.0,0.0003790547,1.0,0.00058749213,1.0,0.0003670497,1.0,0.0011062833,1.0,0.00026916317,1.0,0.0006976738,0.18903545,0.0072738305,0.00862161,0.43143934483907886,0.18979788,0.008606463,0.008476785,0.0059699756,0.00798802,1.0,0.00055045733,1.0,0.00051573594,0.978979,0.02921067,1.0,0.0009870649,1.0,0.00036088773,0.987988,0.02220685,1.0,0.00027823664,1.0,0.0027655324,0.23937175,0.006645567,0.007969315,0.5469098452691201,0.2108651,0.0075630047,0.006691029
32,0.006617563,0.008574216,1.0,0.00032072712,1.0,0.0004896181,1.0,0.00031913767,1.0,0.0005682759,1.0,0.00031809043,1.0,0.0005513687,1.0,0.00023302741,1.0,0.0007632876,0.1865508,0.0071457955,0.008592399,0.42673721844589324,0.1890301,0.008585164,0.008298374,0.0051568984,0.0071193906,1.0,0.00045495346,1.0,0.00046091687,0.978979,0.021767259,1.0,0.0006813833,1.0,0.00031907755,0.993994,0.017461685,1.0,0.00023953812,1.0,0.0024083634,0.23005123,0.0058678426,0.0069569424,0.5240946902527107,0.20969218,0.0069398438,0.006147401
33,0.006403518,0.008554908,1.0,0.00037324202,1.0,0.00043510925,1.0,0.00027941584,1.0,0.00050922733,1.0,0.00028038243,1.0,0.0006217001,1.0,0.00020611426,1.0,0.0007663562,0.18436015,0.0070577376,0.008568972,0.42461262832540575,0.18924622,0.008556773,0.008156644,0.0049188044,0.0070676575,1.0,0.0005477325,1.0,0.00039723475,0.972973,0.08281254,1.0,0.00068189285,1.0,0.00031688635,1.0,0.0001488614,1.0,0.0002527099,1.0,0.0026603574,0.2632633,0.0056548216,0.0068408344,0.6064074146854985,0.21524033,0.006816311,0.006166809
34,0.006184654,0.008443231,1.0,0.00039003097,1.0,0.0004280684,1.0,0.0002639976,1.0,0.0005637694,1.0,0.00027866932,1.0,0.0004742327,1.0,0.00021061231,1.0,0.00077375607,0.18160543,0.0068689985,0.00845611,0.41680026815673804,0.18621087,0.008395687,0.008004457,0.004706146,0.0067879604,1.0,0.0002995038,1.0,0.00036012285,0.993994,0.0100337975,1.0,0.0003214247,1.0,0.000228303,1.0,0.0007829379,1.0,0.00017398562,1.0,0.0005877786,0.2298941,0.0056044087,0.0068012616,0.48196267795276354,0.20344275,0.006646289,0.006230248
35,0.005871487,0.008113135,1.0,0.00042847468,1.0,0.0005007411,1.0,0.0002783282,1.0,0.00052034744,1.0,0.0003390924,1.0,0.00052693515,1.0,0.00023748515,1.0,0.00069872814,0.18411437,0.006752059,0.008117865,0.41830913356423466,0.18487184,0.008101928,0.007968567,0.005020711,0.007094105,1.0,0.000275496,1.0,0.0003354488,0.972973,0.100037545,1.0,0.00036833037,1.0,0.00028411302,1.0,0.00012693301,1.0,0.00023845192,1.0,0.0037315572,0.23078519,0.005862862,0.006785165,0.5815475966121342,0.20447755,0.006609491,0.0063266098
36,0.005901374,0.0081242565,1.0,0.00032700962,1.0,0.00044121683,1.0,0.00026868584,1.0,0.0004888041,1.0,0.00029262103,1.0,0.00052762224,1.0,0.00020580715,1.0,0.0007619216,0.17942223,0.0067252275,0.00814308,0.41221373722483395,0.18447752,0.008124018,0.007830561,0.0040628896,0.006421296,1.0,0.0002758196,1.0,0.00034458778,1.0,0.006529303,1.0,0.0005379561,1.0,0.00031537763,1.0,0.0047717816,1.0,0.00019863488,1.0,0.0022372385,0.23298538,0.0048121763,0.0063870437,0.48008123442933365,0.20016192,0.006194221,0.005507629
37,0.0058486536,0.008081241,1.0,0.00027807744,1.0,0.0003943731,1.0,0.0002688005,1.0,0.0004929625,1.0,0.00025937014,1.0,0.000573455,1.0,0.0001832159,1.0,0.000731831,0.17678241,0.0065762126,0.008090005,0.4054570846948115,0.18165189,0.008077731,0.007709856,0.0045883995,0.006480957,1.0,0.0002166819,1.0,0.00034485053,0.978979,0.063402995,1.0,0.00057257334,1.0,0.0002446054,1.0,0.00014640848,1.0,0.00017047097,1.0,0.0013383878,0.2231108,0.0051416084,0.0063731237,0.525995059235318,0.19944231,0.0063472725,0.005899713
38,0.0058198017,0.008033446,1.0,0.00025009175,1.0,0.00038549755,1.0,0.00029113513,1.0,0.0005846905,1.0,0.00024006299,0.9992487,0.0013280432,1.0,0.00017995674,1.0,0.0007746439,0.17324038,0.006358145,0.00806304,0.402113887620635,0.18170533,0.008050815,0.007569706,0.14612952,0.1521836,1.0,0.00028181603,1.0,0.00058530155,0.972973,0.03584946,1.0,0.0005491956,1.0,0.0003985916,1.0,0.0005295672,1.0,0.00035798945,1.0,0.0013577947,0.21803789,0.15778561,0.14384909,1.2972391442851618,0.22747944,0.10373809,0.11994009
39,0.005697477,0.007416413,1.0,0.00028790417,1.0,0.0007766105,1.0,0.00028950558,1.0,0.0005738327,1.0,0.00052045553,1.0,0.0004233572,1.0,0.00044768988,1.0,0.0010785431,0.17253157,0.006229123,0.0075038816,0.39779975927476147,0.1791826,0.007438021,0.0071942764,0.0043091197,0.005658376,1.0,0.00045666186,1.0,0.0008664465,0.972973,0.090356156,1.0,0.00079619064,1.0,0.00081140915,1.0,0.00039015082,1.0,0.0005298699,1.0,0.002182359,0.23174019,0.005633486,0.0054815854,0.5577086872524686,0.1965367,0.00548866,0.005973059
